201710;001;00;0000;SS  ;000  ;000;17790;C  ;SFAMREG Holding Course        ;L  ;M  ;0050;0000;0050;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0000                                                                      
201710;001;AA;UGST;UNIV;101L3;000;15305;F  ;Introduction to the University;L  ;M1 ;0020;0020;0000;09/07/2016;12/20/2016;11:00 am;12:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0060;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;001;15306;F  ;Introduction to the University;L  ;M1 ;0020;0020;0000;09/07/2016;12/20/2016;02:00 pm;03:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0060;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;002;15307;F  ;Introduction to the University;L  ;M1 ;0020;0020;0000;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0060;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;003;15308;F  ;Introduction to the University;L  ;M1 ;0020;0020;0000;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0060;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;004;15309;F  ;Introduction to the University;L  ;M1 ;0020;0009;0011;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0027;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;005;15312;F  ;Introduction to the University;L  ;M1 ;0020;0020;0000;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0060;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;006;15313;F  ;Introduction to the University;L  ;M1 ;0020;0012;0008;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0036;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;007;15314;F  ;Introduction to the University;L  ;M1 ;0020;0009;0011;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0027;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;008;15315;F  ;Introduction to the University;L  ;M1 ;0020;0016;0004;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0048;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;009;15316;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
